	  19	1033.9821903219 8408.9875815404 67.5923618276 -623.8561748000
	  27	1033.9821903219 8408.9875815404 55.5923628276 -625.7795171000
	  53	1217.2404212008 12036.4507971974 57.4001418424 -793.6969199000
	  65	1217.2404212008 12036.4507971974 69.4001408424 -833.2134790000
	  75	1417.2404202008 12036.4507971974 81.4001398424 -903.2677505000
	  98	1417.2404202008 13636.4507961974 81.4001398424 -965.0684116000
	 106	1617.2404192008 13636.4507961974 81.4001398424 -984.9275595000
	 110	1617.2404192008 16000.0000000000 81.4001398424 -1089.9811500000
	 122	1617.2404192008 16000.0000000000 93.4001388424 -1105.6000910000
	 136	1717.2404187008 16000.0000000000 93.4001388424 -1154.5406820000
	 145	1717.2404187008 16000.0000000000 99.4001383424 -1156.9047350000
	 164	1717.2404187008 16000.0000000000 96.4001385924 -1157.5763310000
	 185	1727.3966686501 16000.0000000000 96.4001385924 -1161.1203090000
	 198	1727.3966686501 16000.0000000000 96.6345135728 -1161.2659810000
	 199	1727.3966686501 16000.0000000000 97.3376385143 -1161.5666850000
	 217	1727.3966686501 16000.0000000000 97.5720134947 -1161.6223880000
	 218	1727.3966686501 16000.0000000000 98.2751384361 -1161.6596040000
	 273	1727.3966686501 16000.0000000000 98.1813884439 -1161.6657380000
	 283	1727.3966686501 16000.0000000000 98.0876384518 -1161.6684870000
	 290	1727.9826061471 15996.0937500024 98.2634196871 -1161.7605630000
	 304	1727.9826061471 15996.0937500024 98.0759197027 -1161.7648630000
	 324	1727.9826061471 16000.0000000000 98.0759197027 -1161.8897250000
	 339	1727.9856579049 16000.0000000000 98.0316081830 -1161.8900310000
	 347	1728.2786266535 16000.0000000000 98.0902019281 -1162.0011570000
	 382	1728.3457653250 16000.0000000000 98.0942302481 -1162.0264160000
	 395	1728.3488170828 16000.0000000000 98.0499187283 -1162.0265660000
	 426	1728.3528225149 16000.0000000000 98.0594859883 -1162.0283450000
	 427	1728.3648388112 16000.0000000000 98.0881877681 -1162.0334810000
	 445	1728.3688442433 16000.0000000000 98.0977550281 -1162.0351260000
	 476	1728.3692018712 16000.0000000000 98.0949047342 -1162.0352210000
	 477	1728.3702747548 16000.0000000000 98.0863538526 -1162.0354880000
	 495	1728.3706323827 16000.0000000000 98.0835035587 -1162.0355710000
	 505	1728.3709900105 16000.0000000000 98.0806532648 -1162.0356500000
	 515	1728.3713476384 16000.0000000000 98.0778029709 -1162.0357260000
	 638	1728.3714131912 16000.0000000000 98.0777937059 -1162.0357500000
	 642	1728.3714426762 16000.0000000000 98.0778111825 -1162.0357620000
	 867	1728.3714426762 16000.0000000000 98.0778111825 -1162.0357620000
