	  19	1033.9821903219 8408.9875815404 67.5923618276 -623.8561748000
	  27	1033.9821903219 8408.9875815404 55.5923628276 -625.7795171000
	  30	1233.9821893219 10008.9875805404 67.5923618276 -748.9426463000
	  33	1433.9821883219 11608.9875795404 79.5923608276 -871.3788401000
	  54	1433.9821883219 14808.9875775404 79.5923608276 -982.7401421000
	  80	1633.9821873219 14400.0000010000 103.5923588276 -1054.7246830000
	  90	1633.9821873219 14400.0000010000 91.5923598276 -1068.2411780000
	 100	1633.9821873219 16000.0000000000 91.5923598276 -1117.9755700000
	 138	1683.9821870719 16000.0000000000 106.5923585776 -1120.2470610000
	 143	1683.9821870719 16000.0000000000 94.5923595776 -1143.5143720000
	 162	1721.4821868844 15800.0000001250 97.5923593276 -1152.8219000000
	 172	1721.4821868844 16000.0000000000 97.5923593276 -1159.4011830000
	 205	1727.7321868532 15975.0000000156 97.8736093042 -1160.9795130000
	 220	1727.7321868532 16000.0000000000 98.1079842846 -1161.7952820000
	 262	1728.3181243502 16000.0000000000 97.9204843003 -1162.0079140000
	 301	1728.3181243502 16000.0000000000 98.0142342925 -1162.0137590000
	 312	1728.3181243502 16000.0000000000 98.1079842846 -1162.0161820000
	 340	1728.3211761080 16000.0000000000 98.0636727649 -1162.0166050000
	 391	1728.3251815401 16000.0000000000 98.0732400248 -1162.0183270000
	 392	1728.3371978365 16000.0000000000 98.1019418047 -1162.0232930000
	 397	1728.3371978365 16000.0000000000 98.1433236372 -1162.0233980000
	 431	1728.3412032686 16000.0000000000 98.1528908971 -1162.0248390000
	 432	1728.3532195649 16000.0000000000 98.1815926770 -1162.0289600000
	 448	1728.3700042328 16000.0000000000 98.1771981461 -1162.0353830000
	 505	1728.3703618607 16000.0000000000 98.1743478522 -1162.0355660000
	 506	1728.3714347443 16000.0000000000 98.1657969706 -1162.0360980000
	 674	1728.3714438183 16000.0000000000 98.1657962123 -1162.0361010000
	 736	1728.3714443030 16000.0000000000 98.1657962758 -1162.0361020000
	 823	1728.3714443030 16000.0000000000 98.1657962758 -1162.0361020000
