	  19	1033.9821903219 8408.9875815404 67.5923618276 -623.8561748000
	  23	1433.9821883219 11608.9875795404 79.5923608276 -871.3788401000
	  26	1433.9821883219 13208.9875785404 91.5923598276 -942.6107036000
	  28	1633.9821873219 16000.0000000000 79.5923608276 -1082.2582310000
	  67	1633.9821873219 16000.0000000000 91.5923598276 -1117.9755700000
	 134	1683.9821870719 16000.0000000000 106.5923585776 -1120.2470610000
	 136	1683.9821870719 16000.0000000000 94.5923595776 -1143.5143720000
	 188	1727.7321868532 16000.0000000000 98.1548592807 -1161.7944190000
	 244	1728.3181243502 16000.0000000000 98.2603280220 -1162.0128640000
	 246	1728.3181243502 16000.0000000000 98.1665780298 -1162.0159660000
	 283	1728.3181243502 16000.0000000000 98.1314217827 -1162.0162550000
	 352	1728.3669524750 16000.0000000000 98.1167733464 -1162.0345940000
	 371	1728.3669524750 16000.0000000000 98.1343514700 -1162.0346340000
	 391	1728.3669524750 16000.0000000000 98.1314217827 -1162.0346350000
	 443	1728.3700042328 16000.0000000000 98.1284920954 -1162.0357820000
	 445	1728.3700042328 16000.0000000000 98.1321542045 -1162.0357840000
	 556	1728.3714347443 16000.0000000000 98.1316506645 -1162.0363220000
	 609	1728.3714436849 16000.0000000000 98.1322779437 -1162.0363260000
	1000	1728.3714436849 16000.0000000000 98.1322779437 -1162.0363260000
