   7	708.2714060899 4760.7029258578 55.0537941293 -303.6071636000
  59	1300.6016031886 14037.4406172209 67.8923436142 -880.6963804000
  66	1500.6016021886 14037.4406172209 91.8923416142 -1003.7054580000
  78	1700.6016011886 14037.4406172209 91.8923416142 -1046.2457500000
  81	1700.6016011886 16000.0000000000 91.8923416142 -1147.1615170000
 115	1700.6016011886 16000.0000000000 97.8923411142 -1150.2323000000
 131	1700.6016011886 16000.0000000000 94.8923413642 -1150.6144460000
 140	1713.1016011261 16000.0000000000 94.5173413955 -1154.8205500000
 142	1725.6016010636 16000.0000000000 93.0173415205 -1155.8825620000
 147	1725.6016010636 16000.0000000000 99.0173410205 -1160.7653570000
 165	1725.6016010636 16000.0000000000 97.5173411455 -1160.9547980000
 208	1725.6016010636 16000.0000000000 97.7517161260 -1160.9813490000
 218	1725.6016010636 16000.0000000000 97.9860911064 -1160.9863820000
 244	1727.5547260538 16000.0000000000 98.0593332878 -1161.7283590000
 247	1728.1406635509 16000.0000000000 97.8718333034 -1161.9379900000
 276	1728.1406635509 16000.0000000000 97.9655832956 -1161.9451300000
 277	1728.1406635509 16000.0000000000 98.2468332722 -1161.9460460000
 300	1728.1406635509 16000.0000000000 98.1530832800 -1161.9491420000
 313	1728.1437153087 16000.0000000000 98.1087717603 -1161.9505740000
 323	1728.1467670665 16000.0000000000 98.0644602405 -1161.9512370000
 331	1728.1467670665 16000.0000000000 98.1530832800 -1161.9514480000
 360	1728.2139057380 16000.0000000000 98.1571116000 -1161.9767510000
 370	1728.2810444095 16000.0000000000 98.1611399200 -1162.0020460000
 380	1728.3481830811 16000.0000000000 98.1651682399 -1162.0273330000
 392	1728.3512348389 16000.0000000000 98.1208567202 -1162.0287030000
 402	1728.3542865967 16000.0000000000 98.0765452005 -1162.0293060000
 433	1728.3582920288 16000.0000000000 98.0861124604 -1162.0309900000
 434	1728.3703083251 16000.0000000000 98.1148142402 -1162.0358430000
 473	1728.3706659530 16000.0000000000 98.1119639464 -1162.0359580000
 483	1728.3710235808 16000.0000000000 98.1091136525 -1162.0360690000
 493	1728.3713812087 16000.0000000000 98.1062633586 -1162.0361760000
 666	1728.3714237066 15999.9997541923 98.1062681308 -1162.0361850000
 686	1728.3714404584 16000.0000000000 98.1062686271 -1162.0361990000
 707	1728.3714430083 16000.0000000000 98.1062714828 -1162.0362000000
 893	1728.3714430083 16000.0000000000 98.1062714828 -1162.0362000000
