   2	587.8013798070 3467.5104004119 54.3741281365 -140.7133319000
   6	1670.5635483249 15860.5109850492 105.7732550613 -1111.0327390000
  35	1670.5635483249 15860.5109850492 93.7732560613 -1134.1140160000
  52	1670.5635483249 16000.0000000000 93.7732560613 -1137.1854890000
  98	1720.5635480749 16000.0000000000 99.7732555613 -1158.1158510000
 144	1720.5635480749 16000.0000000000 96.7732558113 -1158.9253040000
 176	1726.8135480436 16000.0000000000 98.4607556707 -1161.4096510000
 183	1726.8135480436 16000.0000000000 97.7107557332 -1161.4298640000
 220	1726.8135480436 16000.0000000000 98.0857557019 -1161.4469210000
 320	1728.1807355368 16000.0000000000 98.1677869451 -1161.9640360000
 322	1728.1807355368 16000.0000000000 98.1209119490 -1161.9645230000
 413	1728.3699445202 16000.0000000000 98.1317151707 -1162.0357610000
 500	1728.3714227154 16000.0000000000 98.1317638081 -1162.0363180000
 556	1728.3714435771 16000.0000000000 98.1316423935 -1162.0363260000
 968	1728.3714435771 16000.0000000000 98.1316423935 -1162.0363260000
